Channel_number,Emission,Type,time,comp,Totalbio,d1_time,intensity1,Leaf3
66,420.796,l3,6,DMNT,1,1,1,1
66,378.477,l3,6.166666667,DMNT,1,1,1,1
66,361.204,l3,6.333333333,DMNT,1,1,1,1
66,294.202,l3,6.5,DMNT,1,1,1,1
66,309.4,l3,6.666666667,DMNT,1,1,1,1
66,288.564,l3,6.833333333,DMNT,1,1,1,1
66,305.535,l3,7,DMNT,1,1,1,1
66,264.935,l3,7.166666667,DMNT,1,1,1,1
66,266.848,l3,7.333333333,DMNT,1,1,1,1
66,268.687,l3,7.5,DMNT,1,1,1,1
66,241.614,l3,7.666666667,DMNT,1,1,1,1
66,238.671,l3,7.833333333,DMNT,1,1,1,1
66,230.417,l3,8,DMNT,1,1,1,1
66,213.847,l3,8.166666667,DMNT,1,1,1,1
66,183.748,l3,8.333333333,DMNT,1,1,1,1
66,157.55,l3,8.5,DMNT,1,1,1,1
66,171.752,l3,8.666666667,DMNT,1,1,1,1
66,158.515,l3,8.833333333,DMNT,1,1,1,1
66,136.284,l3,9,DMNT,1,1,1,1
66,132.849,l3,9.166666667,DMNT,1,1,1,1
67,8.67869,a,-0.666666667,DMNT,1,1,1,1
67,5.38622,a,-0.5,DMNT,1,1,1,1
67,7.53413,a,-0.333333333,DMNT,1,1,1,1
67,7.38241,a,-0.166666667,DMNT,1,1,1,1
67,8.9532,a,0,DMNT,1,1,1,1
67,10.4477,a,0.166666667,DMNT,1,1,1,1
67,3.37454,a,0.333333333,DMNT,1,1,1,1
67,7.32038,a,0.5,DMNT,1,1,1,1
67,13.0302,a,0.666666667,DMNT,1,1,1,1
67,8.98357,a,0.833333333,DMNT,1,1,1,1
67,12.0691,a,1,DMNT,1,1,1,1
67,1.00E-08,a,1.166666667,DMNT,1,1,1,1
67,10.0261,a,1.333333333,DMNT,1,1,1,1
67,13.5439,a,1.5,DMNT,1,1,1,1
67,1.01574,a,1.666666667,DMNT,1,1,1,1
67,17.4013,a,1.833333333,DMNT,1,1,1,1
67,9.36994,a,2,DMNT,1,1,1,1
67,1.00E-08,a,2.166666667,DMNT,1,1,1,1
67,1.46116,a,2.333333333,DMNT,1,1,1,1
67,10.8102,a,2.5,DMNT,1,1,1,1
67,14.6449,a,2.666666667,DMNT,1,1,1,1
67,1.00E-08,a,2.833333333,DMNT,1,1,1,1
67,2.75164,a,3,DMNT,1,1,1,1
67,18.7065,a,3.166666667,DMNT,1,1,1,1
67,9.12786,a,3.333333333,DMNT,1,1,1,1
67,11.8171,a,3.5,DMNT,1,1,1,1
67,1.00E-08,a,3.666666667,DMNT,1,1,1,1
67,12.5095,a,3.833333333,DMNT,1,1,1,1
67,1.00E-08,a,4,DMNT,1,1,1,1
67,10.7159,a,4.166666667,DMNT,1,1,1,1
67,9.88055,a,4.333333333,DMNT,1,1,1,1
67,1.00E-08,a,4.5,DMNT,1,1,1,1
67,23.1385,a,4.666666667,DMNT,1,1,1,1
67,22.4554,a,4.833333333,DMNT,1,1,1,1
67,20.103,a,5,DMNT,1,1,1,1
67,11.2417,a,5.166666667,DMNT,1,1,1,1
67,8.83672,a,5.333333333,DMNT,1,1,1,1
67,1.00E-08,a,5.5,DMNT,1,1,1,1
67,20.6577,a,5.666666667,DMNT,1,1,1,1
67,13.046,a,5.833333333,DMNT,1,1,1,1
67,14.8823,a,6,DMNT,1,1,1,1
67,10.511,a,6.166666667,DMNT,1,1,1,1
67,14.784,a,6.333333333,DMNT,1,1,1,1
67,11.4146,a,6.5,DMNT,1,1,1,1
67,1.00E-08,a,6.666666667,DMNT,1,1,1,1
67,14.3639,a,6.833333333,DMNT,1,1,1,1
67,7.90758,a,7,DMNT,1,1,1,1
67,10.5294,a,7.166666667,DMNT,1,1,1,1
67,10.0122,a,7.333333333,DMNT,1,1,1,1
67,13.8811,a,7.5,DMNT,1,1,1,1
67,11.7596,a,7.666666667,DMNT,1,1,1,1
67,9.20777,a,7.833333333,DMNT,1,1,1,1
67,2.01596,a,8,DMNT,1,1,1,1
67,9.63756,a,8.166666667,DMNT,1,1,1,1
67,12.2117,a,8.333333333,DMNT,1,1,1,1
67,13.7042,a,8.5,DMNT,1,1,1,1
67,9.14891,a,8.666666667,DMNT,1,1,1,1
67,7.50339,a,8.833333333,DMNT,1,1,1,1
67,15.1156,a,9,DMNT,1,1,1,1
67,11.0365,a,9.166666667,DMNT,1,1,1,1
68,3.76207,l3,-0.666666667,DMNT,1,1,1,1
68,5.90394,l3,-0.5,DMNT,1,1,1,1
68,4.90207,l3,-0.333333333,DMNT,1,1,1,1
68,0.707092,l3,-0.166666667,DMNT,1,1,1,1
68,11.6261,l3,0,DMNT,1,1,1,1
68,8.13418,l3,0.166666667,DMNT,1,1,1,1
68,9.00559,l3,0.333333333,DMNT,1,1,1,1
68,1.41395,l3,0.5,DMNT,1,1,1,1
68,15.7886,l3,0.666666667,DMNT,1,1,1,1
68,26.5907,l3,0.833333333,DMNT,1,1,1,1
68,40.8938,l3,1,DMNT,1,1,1,1
68,74.1457,l3,1.166666667,DMNT,1,1,1,1
68,144.217,l3,1.333333333,DMNT,1,1,1,1
68,289.425,l3,1.5,DMNT,1,1,1,1
68,474.113,l3,1.666666667,DMNT,1,1,1,1
68,691.887,l3,1.833333333,DMNT,1,1,1,1
68,989.394,l3,2,DMNT,1,1,1,1
68,1177.37,l3,2.166666667,DMNT,1,1,1,1
68,1397.76,l3,2.333333333,DMNT,1,1,1,1
68,1601.8,l3,2.5,DMNT,1,1,1,1
68,1637.83,l3,2.666666667,DMNT,1,1,1,1
68,1697.56,l3,2.833333333,DMNT,1,1,1,1
68,1461.16,l3,3,DMNT,1,1,1,1
68,1524.59,l3,3.166666667,DMNT,1,1,1,1
68,1434.96,l3,3.333333333,DMNT,1,1,1,1
68,1334.72,l3,3.5,DMNT,1,1,1,1
68,1241.57,l3,3.666666667,DMNT,1,1,1,1
