,Emission,Channel_number,comp,time,Type,intensity1,position,d1_time,Totalbio,Leaf3
76,0.605817,54,TMTT,15,a,NA,Wholeplant,NA,54,54
77,0.590335,54,TMTT,15.5,a,NA,Wholeplant,NA,54,54
78,0.456877,54,TMTT,16,a,NA,Wholeplant,NA,54,54
79,0.713012,54,TMTT,16.5,a,NA,Wholeplant,NA,54,54
80,0.607959,54,TMTT,17,a,NA,Wholeplant,NA,54,54
81,0.425929,54,TMTT,17.5,a,NA,Wholeplant,NA,54,54
82,0.012328,54,TMTT,18,a,NA,Wholeplant,NA,54,54
83,0.14862,54,TMTT,18.5,a,NA,Wholeplant,NA,54,54
84,0.750235,54,TMTT,19,a,NA,Wholeplant,NA,54,54
85,0.313962,54,TMTT,19.5,a,NA,Wholeplant,NA,54,54
86,0.634369,54,TMTT,20,a,NA,Wholeplant,NA,54,54
87,0.437159,54,TMTT,20.5,a,NA,Wholeplant,NA,54,54
88,0.697758,54,TMTT,21,a,NA,Wholeplant,NA,54,54
89,2.48198,54,indole,-1,a,NA,Wholeplant,NA,54,54
90,2.97648,54,indole,-0.5,a,NA,Wholeplant,NA,54,54
91,1.66466,54,indole,0,a,NA,Wholeplant,NA,54,54
92,1.28632,54,indole,0.5,a,NA,Wholeplant,NA,54,54
93,3.1002,54,indole,1,a,NA,Wholeplant,NA,54,54
94,2.61322,54,indole,1.5,a,NA,Wholeplant,NA,54,54
95,1.5652,54,indole,2,a,NA,Wholeplant,NA,54,54
96,1.00E-08,54,indole,2.5,a,NA,Wholeplant,NA,54,54
97,1.00E-08,54,indole,3,a,NA,Wholeplant,NA,54,54
98,0.941393,54,indole,4,a,NA,Wholeplant,NA,54,54
99,1.74578,54,indole,4.5,a,NA,Wholeplant,NA,54,54
100,0.96952,54,indole,5,a,NA,Wholeplant,NA,54,54
101,1.00E-08,54,indole,5.5,a,NA,Wholeplant,NA,54,54
102,1.00E-08,54,indole,6,a,NA,Wholeplant,NA,54,54
103,1.00E-08,54,indole,6.5,a,NA,Wholeplant,NA,54,54
104,1.00E-08,54,indole,7,a,NA,Wholeplant,NA,54,54
105,1.00E-08,54,indole,7.5,a,NA,Wholeplant,NA,54,54
106,2.04262,54,indole,8,a,NA,Wholeplant,NA,54,54
107,0.233551,54,indole,8.5,a,NA,Wholeplant,NA,54,54
108,1.60108,54,indole,9,a,NA,Wholeplant,NA,54,54
109,0.219422,54,indole,9.5,a,NA,Wholeplant,NA,54,54
110,1.98437,54,indole,10,a,NA,Wholeplant,NA,54,54
111,0.939107,54,indole,10.5,a,NA,Wholeplant,NA,54,54
112,1.00E-08,54,indole,11,a,NA,Wholeplant,NA,54,54
113,0.573779,54,indole,11.5,a,NA,Wholeplant,NA,54,54
114,1.34139,54,indole,12,a,NA,Wholeplant,NA,54,54
115,0.989214,54,indole,12.5,a,NA,Wholeplant,NA,54,54
116,0.730506,54,indole,13,a,NA,Wholeplant,NA,54,54
117,1.23427,54,indole,13.5,a,NA,Wholeplant,NA,54,54
118,1.66168,54,indole,14,a,NA,Wholeplant,NA,54,54
119,0.394287,54,indole,14.5,a,NA,Wholeplant,NA,54,54
120,1.00E-08,54,indole,15,a,NA,Wholeplant,NA,54,54
121,0.172955,54,indole,15.5,a,NA,Wholeplant,NA,54,54
122,0.417582,54,indole,16,a,NA,Wholeplant,NA,54,54
123,0.165185,54,indole,16.5,a,NA,Wholeplant,NA,54,54
124,1.00E-08,54,indole,17,a,NA,Wholeplant,NA,54,54
125,1.15358,54,indole,17.5,a,NA,Wholeplant,NA,54,54
126,0.344009,54,indole,18,a,NA,Wholeplant,NA,54,54
127,1.64307,54,indole,18.5,a,NA,Wholeplant,NA,54,54
128,0.709755,54,indole,19,a,NA,Wholeplant,NA,54,54
129,0.0130436,54,indole,19.5,a,NA,Wholeplant,NA,54,54
130,0.803978,54,indole,20,a,NA,Wholeplant,NA,54,54
131,1.00E-08,54,indole,20.5,a,NA,Wholeplant,NA,54,54
132,1.00E-08,54,indole,21,a,NA,Wholeplant,NA,54,54
133,24.7406,54,mono,-1,a,NA,Wholeplant,NA,54,54
134,29.2344,54,mono,-0.5,a,NA,Wholeplant,NA,54,54
135,23.1795,54,mono,0,a,NA,Wholeplant,NA,54,54
136,15.3181,54,mono,0.5,a,NA,Wholeplant,NA,54,54
137,26.666,54,mono,1,a,NA,Wholeplant,NA,54,54
138,27.4805,54,mono,1.5,a,NA,Wholeplant,NA,54,54
139,28.9165,54,mono,2,a,NA,Wholeplant,NA,54,54
140,27.7942,54,mono,2.5,a,NA,Wholeplant,NA,54,54
141,21.5111,54,mono,3,a,NA,Wholeplant,NA,54,54
142,30.2734,54,mono,4,a,NA,Wholeplant,NA,54,54
143,25.2662,54,mono,4.5,a,NA,Wholeplant,NA,54,54
144,29.0176,54,mono,5,a,NA,Wholeplant,NA,54,54
145,9.03997,54,mono,5.5,a,NA,Wholeplant,NA,54,54
146,14.4269,54,mono,6,a,NA,Wholeplant,NA,54,54
147,14.4285,54,mono,6.5,a,NA,Wholeplant,NA,54,54
148,25.7249,54,mono,7,a,NA,Wholeplant,NA,54,54
149,16.0711,54,mono,7.5,a,NA,Wholeplant,NA,54,54
150,29.5801,54,mono,8,a,NA,Wholeplant,NA,54,54
151,30.3849,54,mono,8.5,a,NA,Wholeplant,NA,54,54
152,32.1608,54,mono,9,a,NA,Wholeplant,NA,54,54
153,21.7136,54,mono,9.5,a,NA,Wholeplant,NA,54,54
154,25.8185,54,mono,10,a,NA,Wholeplant,NA,54,54
155,26.9935,54,mono,10.5,a,NA,Wholeplant,NA,54,54
156,11.3985,54,mono,11,a,NA,Wholeplant,NA,54,54
157,19.689,54,mono,11.5,a,NA,Wholeplant,NA,54,54
158,17.2833,54,mono,12,a,NA,Wholeplant,NA,54,54
159,16.9441,54,mono,12.5,a,NA,Wholeplant,NA,54,54
160,19.8913,54,mono,13,a,NA,Wholeplant,NA,54,54
161,21.9099,54,mono,13.5,a,NA,Wholeplant,NA,54,54
162,15.6386,54,mono,14,a,NA,Wholeplant,NA,54,54
163,21.8634,54,mono,14.5,a,NA,Wholeplant,NA,54,54
164,21.1231,54,mono,15,a,NA,Wholeplant,NA,54,54
165,9.83106,54,mono,15.5,a,NA,Wholeplant,NA,54,54
166,21.4629,54,mono,16,a,NA,Wholeplant,NA,54,54
167,19.8805,54,mono,16.5,a,NA,Wholeplant,NA,54,54
168,19.8864,54,mono,17,a,NA,Wholeplant,NA,54,54
169,10.9758,54,mono,17.5,a,NA,Wholeplant,NA,54,54
170,20.1629,54,mono,18,a,NA,Wholeplant,NA,54,54
171,19.3343,54,mono,18.5,a,NA,Wholeplant,NA,54,54
172,23.9984,54,mono,19,a,NA,Wholeplant,NA,54,54
