R_peak_fit,t_peak_fit,t_onset_fit,t_mean_fit,duration,shape,fitted_emission,prior,time,emission,integral,Type,comp,Channel_number,intensity1,Totalbio,Leaf3,d1_time
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,3.1863444008227346e-16,0.7280674594397532,-0.666666667,28.711336622851583,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,1.4926541695478726e-15,-1.0618944180659433,-0.5,16.909511651015645,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,6.992390493964842e-15,-3.522498566761328,-0.333333333,18.661824524697863,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,3.2756093620696385e-14,1.5168892816624187,-0.166666667,30.635372744921895,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,1.5344697072458535e-13,0.9230224969766425,0.0,29.963967881445328,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,7.188253391562185e-13,3.535762177137382,0.166666667,29.486852603320337,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,3.3673038583294703e-12,-8.878376781881116,0.333333333,18.19470176141661,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,1.5772800755438668e-11,1.71898416797033,0.5,31.62808499012756,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,7.385224693766317e-11,4.6791895160828965,0.666666667,34.49299032958069,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,3.4507353483850514e-10,12.695766016821366,0.833333333,43.99292075703127,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,1.5947902167684198e-09,25.595753096363783,1.0,60.85938027812503,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,6.974706022343099e-09,46.39055019658802,1.166666667,79.9884621330963,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,2.4173565774399825e-08,99.01988096414183,1.333333333,159.1296018542969,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,125.12688342464808,209.40227362352124,1.5,312.02225298437503,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,428.34017861783514,329.9754968800623,1.666666667,461.45122343730475,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,678.2473879415139,486.7174452577982,1.833333333,713.0535663710938,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,859.5125583158923,684.8770652839836,2.0,898.2328674652343,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,989.3164035905168,888.4632928601851,2.166666667,1138.4609406822083,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,1079.0650586858237,1095.1279008851343,2.333333333,1322.0396672222655,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,1136.444374112254,1211.871768919063,2.5,1408.2941888534374,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,1167.4944804641466,1197.9789263192952,2.666666667,1280.7750497759089,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,1177.2721123253914,1258.8773670679643,2.833333333,1323.371956664435,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,1170.0656652966616,1154.6417665122908,3.0,1165.0354455552736,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,1149.5041865526312,1151.119663926818,3.166666667,1175.9542200752837,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,1118.6416673724461,1112.9157066094922,3.333333333,1083.2301324019534,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,1080.032116656829,1031.4018763248573,3.5,1002.221508795987,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,1035.7974785142558,1048.559744955224,3.666666667,938.8944118118072,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,987.6884731687056,968.710071893014,3.833333333,832.0606396612212,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,937.1384976089469,936.4657568179639,4.0,838.4320249226379,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,885.3109614152662,886.8965244280255,4.166666667,770.6705105619142,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,833.1405714655766,835.9618747821353,4.333333333,751.9920725361328,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,781.3691475362132,777.8699702989009,4.5,654.1421222716614,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,730.5765577834321,793.3146807952606,4.666666667,646.512393452237,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,681.2073306392149,713.8656651818804,4.833333333,596.1766949268463,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,633.5934691939716,659.5540970570997,5.0,566.622582138672,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,587.9739478740246,609.6677237557184,5.166666667,502.75697135321354,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,544.5113157128393,579.3441344556439,5.333333333,482.2442291183594,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,503.30579229610305,506.9525633884208,5.5,421.560866736026,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,464.4071977039966,491.06071738114935,5.666666667,411.0172613457032,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,427.8250104639761,443.89455863301,5.833333333,370.66254065820317,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,393.53681804571295,399.44237685607175,6.0,344.28689463750004,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,361.49539029782915,366.72220924472657,6.166666667,316.5714437876954,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,331.6345710411213,336.25401570776046,6.333333333,290.43004015507813,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,303.874163036103,329.80954773120123,6.5,274.560198640625,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,278.12395743136057,307.7079014524731,6.666666667,241.2951585755676,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,254.28703392994962,289.4723467883188,6.833333333,260.5272595244141,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,232.26244518901296,252.3851576129926,7.0,240.49339215117192,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,211.9473825305427,235.179908987495,7.166666667,211.01898800468751,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,193.2389028938286,240.51113581688838,7.333333333,195.3019080914063,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,176.0352892450011,217.47303814251526,7.5,208.91628623222658,4450.614477820079,l2,DMNT,65,1,1,1,1
1177.2845414029746,2.83953903461326,1.4083808114604366,4.20119459349669,2.7928137820362533,0.4875568745907007,160.23710568465827,210.64808320274153,7.666666667,203.64917914316408,4450.614477820079,l2,DMNT,65,1,1,1,1
