R_peak_fit,t_peak_fit,t_onset_fit,t_mean_fit,duration,shape,fitted_emission,prior,time,emission,integral,Type,comp,Channel_number,intensity1,Totalbio,Leaf3,d1_time
17.574616582887305,2.4000000007681677,0.9553251272547479,4.229127704360578,3.27380257710583,0.558716556821038,3.435068572762546e-15,-0.16400483011224654,-1.0,-1.1921467878770688,79.24341332872096,1b,DMNT,32,6,1.99,0.47,11.0
17.574616582887305,2.4000000007681677,0.9553251272547479,4.229127704360578,3.27380257710583,0.558716556821038,3.8787459219302765e-13,0.20225889562451804,-0.5,1.4984917312437358,79.24341332872096,1b,DMNT,32,6,1.99,0.47,11.0
17.574616582887305,2.4000000007681677,0.9553251272547479,4.229127704360578,3.27380257710583,0.558716556821038,4.3794225066060893e-11,0.08265125591918798,0.0,0.9679420836494294,79.24341332872096,1b,DMNT,32,6,1.99,0.47,11.0
17.574616582887305,2.4000000007681677,0.9553251272547479,4.229127704360578,3.27380257710583,0.558716556821038,4.893880214325738e-09,0.03826167741382136,0.5,1.4524939553270988,79.24341332872096,1b,DMNT,32,6,1.99,0.47,11.0
17.574616582887305,2.4000000007681677,0.9553251272547479,4.229127704360578,3.27380257710583,0.558716556821038,1.4795675352896298,1.8468980606406056,1.0,1.3407616161842348,79.24341332872096,1b,DMNT,32,6,1.99,0.47,11.0
17.574616582887305,2.4000000007681677,0.9553251272547479,4.229127704360578,3.27380257710583,0.558716556821038,13.246928094958873,14.874800945807898,1.5,12.922232242122847,79.24341332872096,1b,DMNT,32,6,1.99,0.47,11.0
17.574616582887305,2.4000000007681677,0.9553251272547479,4.229127704360578,3.27380257710583,0.558716556821038,16.929683871395515,20.232741947619946,2.0,19.050004567299347,79.24341332872096,1b,DMNT,32,6,1.99,0.47,11.0
17.574616582887305,2.4000000007681677,0.9553251272547479,4.229127704360578,3.27380257710583,0.558716556821038,17.54284711329971,16.71859791215294,2.5,21.156668651010982,79.24341332872096,1b,DMNT,32,6,1.99,0.47,11.0
17.574616582887305,2.4000000007681677,0.9553251272547479,4.229127704360578,3.27380257710583,0.558716556821038,16.6561022686452,19.00329405114578,3.0,21.643540298069265,79.24341332872096,1b,DMNT,32,6,1.99,0.47,11.0
17.574616582887305,2.4000000007681677,0.9553251272547479,4.229127704360578,3.27380257710583,0.558716556821038,15.062463123420851,12.429555079385727,3.5,8.213860110395618,79.24341332872096,1b,DMNT,32,6,1.99,0.47,11.0
